IP Address,Organization,ASN,Hosting,Service Category,Country,Region,City,VPN,Proxy,Tor
208.67.222.222,Cisco OpenDNS,AS36692,Cisco,Public DNS,United States,California,San Jose,No,No,No
208.67.220.220,Cisco OpenDNS,AS36692,Cisco,Public DNS,United States,California,San Jose,No,No,No
8.8.8.8,Google DNS,AS15169,Google,Public DNS,United States,California,Mountain View,No,No,No
8.8.4.4,Google DNS,AS15169,Google,Public DNS,United States,California,Mountain View,No,No,No
1.1.1.1,Cloudflare,AS13335,Cloudflare,Public DNS,United States,California,San Francisco,No,No,No
1.0.0.1,Cloudflare,AS13335,Cloudflare,Public DNS,United States,California,San Francisco,No,No,No
9.9.9.9,Quad9,AS19281,Quad9,Public DNS,Switzerland,Zurich,Zurich,No,No,No
35.190.118.8,Google LLC,AS15169,Google Cloud,Cloud Hosting,United States,Iowa,Council Bluffs,No,No,No
35.190.119.0,Google LLC,AS15169,Google Cloud,Cloud Hosting,United States,Iowa,Council Bluffs,No,No,No
35
